No.,Ticker,Company,Sector,Mkt Cap Cat,For P/E Cat,Dividend,EPS growth this year (%) Cat,EPS growth next year (%) Cat,EPS growth past 5 years (%) Cat,EPS growth next 5 years (%) Cat,Sales growth past 5 years (%) Cat,Sales Cat,Float Short (%) Cat,Profit Margin (%) Cat,Performance (Year) (%) Cat,Employees Cat,Analyst Rec Cat,Team Rec Cat,Risk,Volume Cat,Var % Cat,Var%
1,AAPL,Apple Inc.,Technology,Mg Cap,Med,Yes,Yes,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Up,Hi,Buy,Buy,Lo,Hi,Neg,-1.2
2,ACN,Accenture plc,Technology,Lg Cap,Med,Yes,Yes,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Up,Hi,Buy,Buy,Lo,Med,Pos,5.3
3,ADBE,Adobe Inc.,Technology,Lg Cap,Hi,No,Yes,Yes,Yes,Yes,Yes,Med,Lo,Pos,Up,Med,Buy,Buy,Lo,Med,Neg,-0.3
4,ADSK,"Autodesk, Inc.",Technology,Lg Cap,Med,No,Yes,Yes,Yes,Yes,Yes,Med,Lo,Pos,Down,Med,Buy,Buy,Lo,Lo,Pos,9.1
5,AI,"C3.ai, Inc.",Technology,Mid Cap,Hi,No,No,Yes,No,Yes,Yes,Lo,Hi,Neg,Up,Sm,Hold,Hold,Med,Hi,Neg,-36
6,AMAT,"Applied Materials, Inc.",Technology,Lg Cap,Med,Yes,Yes,No,Yes,Yes,Yes,Hi,Lo,Pos,Up,Med,Buy,Hold,Med,Med,Neg,-6.5
7,AMD,"Advanced Micro Devices, Inc.",Technology,Lg Cap,Med,No,No,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Up,Med,Buy,Buy,Lo,Hi,Pos,13.6
8,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Lg Cap,Hi,No,No,Yes,No,Yes,Yes,Hi,Lo,Pos,Down,Hi,Buy,Buy,Lo,Hi,Pos,8.7
9,ANET,"Arista Networks, Inc.",Technology,Lg Cap,Med,No,Yes,Yes,Yes,Yes,Yes,Med,Lo,Pos,Up,Sm,Buy,Buy,Lo,Hi,Neg,-7
10,ANSS,"ANSYS, Inc.",Technology,Lg Cap,Hi,No,Yes,Yes,Yes,Yes,Yes,Med,Lo,Pos,Up,Med,Buy,Hold,Med,Lo,Pos,0.5
11,ASML,ASML Holding N.V.,Technology,Lg Cap,Med,Yes,No,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Up,Med,Buy,Buy,Lo,Lo,Pos,7.1
12,AUR,"Aurora Innovation, Inc.",Technology,Mid Cap,Low,No,No,Yes,Yes,Yes,Yes,Lo,Med,Pos,Up,Sm,Buy,Hold,Med,Med,Pos,48.8
13,AVGO,Broadcom Inc.,Technology,Lg Cap,Med,Yes,Yes,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Up,Med,Buy,Buy,Lo,Med,Neg,-4.3
14,BA,The Boeing Company,Industrials,Lg Cap,Hi,No,No,Yes,No,Yes,No,Hi,Lo,Neg,Up,Hi,Buy,Hold,Med,Med,Pos,4.1
15,BABA,Alibaba Group Holding Limited,Consumer Cyclical,Lg Cap,Med,No,Yes,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Up,Hi,Buy,Buy,Lo,Hi,Pos,37
16,BBAI,"BigBear.ai Holdings, Inc.",Technology,Sm Cap,Low,No,Yes,Yes,Yes,Yes,Yes,Lo,Hi,Neg,Down,Sm,Buy,Sell,Hi,Med,Pos,135.8
17,BIDU,"Baidu, Inc.",Communication Services,Lg Cap,Med,No,No,Yes,No,Yes,Yes,Med,Lo,Pos,Up,Med,Buy,Sell,Hi,Med,Pos,17.6
18,BRN,"Barnwell Industries, Inc.",Energy,Mic Cap,Low,Yes,No,No,Yes,Yes,Yes,Lo,Lo,Pos,Up,Sm,Hold,Sell,Hi,Lo,Pos,0
19,CDNS,"Cadence Design Systems, Inc.",Technology,Lg Cap,Hi,No,Yes,Yes,Yes,Yes,Yes,Med,Lo,Pos,Up,Med,Buy,Hold,Med,Med,Pos,11.1
20,COUR,"Coursera, Inc.",Consumer Defensive,Mid Cap,Hi,No,Yes,Yes,Yes,Yes,Yes,Lo,Med,Neg,Up,Sm,Buy,Hold,Med,Med,Pos,13.6
21,CRM,"Salesforce, Inc.",Technology,Lg Cap,Med,No,No,Yes,No,Yes,Yes,Hi,Lo,Pos,Up,Hi,Buy,Buy,Lo,Med,Pos,7.4
22,CRNC,Cerence Inc.,Technology,Sm Cap,Med,No,No,Yes,No,Yes,Yes,Lo,Med,Neg,Down,Sm,Buy,Sell,Hi,Lo,Pos,18.3
23,CRWD,"CrowdStrike Holdings, Inc.",Technology,Lg Cap,Hi,No,Yes,Yes,No,Yes,Yes,Med,Med,Neg,Down,Med,Buy,Sell,Hi,Med,Pos,7.3
24,DE,Deere & Company,Industrials,Lg Cap,Med,Yes,Yes,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Up,Hi,Buy,Buy,Lo,Med,Pos,3.3
25,DT,"Dynatrace, Inc.",Technology,Lg Cap,Hi,No,Yes,Yes,Yes,Yes,Yes,Med,Med,Pos,Up,Sm,Buy,Sell,Hi,Med,Neg,-4.3
26,DUOT,"Duos Technologies Group, Inc.",Technology,Mic Cap,Low,No,Yes,Yes,Yes,Yes,Yes,Lo,Lo,Neg,Up,Sm,Buy,Hold,Med,Lo,Pos,41.7
27,ENPH,"Enphase Energy, Inc.",Technology,Lg Cap,Med,No,Yes,Yes,Yes,Yes,Yes,Med,Med,Pos,Down,Sm,Buy,Hold,Med,Med,Pos,40.5
28,GOOGL,Alphabet Inc.,Communication Services,Lg Cap,Med,No,No,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Up,Hi,Buy,Buy,Lo,Hi,Pos,11.2
29,HLX,"Helix Energy Solutions Group, Inc.",Energy,Sm Cap,Med,No,No,Yes,No,Yes,Yes,Med,Med,Neg,Up,Sm,Buy,Hold,Med,Med,Pos,15.2
30,IBM,International Business Machines Corporation,Technology,Lg Cap,Med,Yes,No,Yes,No,Yes,No,Hi,Lo,Pos,Up,Hi,Buy,Sell,Hi,Med,Pos,0.3
31,INOD,Innodata Inc.,Technology,Sm Cap,Low,No,No,Yes,No,Yes,Yes,Lo,Med,Neg,Up,Sm,Hold,Sell,Hi,Lo,Neg,-62.1
