No.,Ticker,Company,Sector,Mkt Cap Cat,For P/E Cat,Dividend,EPS growth this year (%) Cat,EPS growth next year (%) Cat,EPS growth past 5 years (%) Cat,EPS growth next 5 years (%) Cat,Sales growth past 5 years (%) Cat,Sales Cat,Float Short (%) Cat,Profit Margin (%) Cat,Performance (Year) (%) Cat,Employees Cat,Analyst Rec Cat,Volume Cat,Var % Cat,Var%,Team Rec Cat
1,AAPL,Apple Inc.,Technology,Mg Cap,Med,Yes,Yes,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Up,Hi,Buy,Hi,Neg,-1.2,Buy
2,ACN,Accenture plc,Technology,Lg Cap,Med,Yes,Yes,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Up,Hi,Buy,Med,Pos,5.3,Buy
3,ADBE,Adobe Inc.,Technology,Lg Cap,Hi,No,Yes,Yes,Yes,Yes,Yes,Med,Lo,Pos,Up,Med,Buy,Med,Neg,-0.3,Buy
4,ADSK,"Autodesk, Inc.",Technology,Lg Cap,Med,No,Yes,Yes,Yes,Yes,Yes,Med,Lo,Pos,Down,Med,Buy,Lo,Pos,9.1,Buy
5,AI,"C3.ai, Inc.",Technology,Mid Cap,Hi,No,No,Yes,No,Yes,Yes,Lo,Hi,Neg,Up,Sm,Hold,Hi,Neg,-36,Buy
6,AMAT,"Applied Materials, Inc.",Technology,Lg Cap,Med,Yes,Yes,No,Yes,Yes,Yes,Hi,Lo,Pos,Up,Med,Buy,Med,Neg,-6.5,Hold
7,AMD,"Advanced Micro Devices, Inc.",Technology,Lg Cap,Med,No,No,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Up,Med,Buy,Hi,Pos,13.6,Buy
8,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Lg Cap,Hi,No,No,Yes,No,Yes,Yes,Hi,Lo,Pos,Down,Hi,Buy,Hi,Pos,8.7,Buy
9,ANET,"Arista Networks, Inc.",Technology,Lg Cap,Med,No,Yes,Yes,Yes,Yes,Yes,Med,Lo,Pos,Up,Sm,Buy,Hi,Neg,-7,Buy
10,ANSS,"ANSYS, Inc.",Technology,Lg Cap,Hi,No,Yes,Yes,Yes,Yes,Yes,Med,Lo,Pos,Up,Med,Buy,Lo,Pos,0.5,Hold
11,ASML,ASML Holding N.V.,Technology,Lg Cap,Med,Yes,No,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Up,Med,Buy,Lo,Pos,7.1,Buy
12,AUR,"Aurora Innovation, Inc.",Technology,Mid Cap,Low,No,No,Yes,Yes,Yes,Yes,Lo,Med,Pos,Up,Sm,Buy,Med,Pos,48.8,Hold
13,AVGO,Broadcom Inc.,Technology,Lg Cap,Med,Yes,Yes,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Up,Med,Buy,Med,Neg,-4.3,Buy
